sec,loop_ticks,write_ticks
1788822855,242,71
1788822856,241,73
1788822857,210,60
1788822858,233,59
1788822859,208,71
1788822860,255,78
1788822861,206,53
1788822862,210,65
1788822863,193,51
1788822864,217,64
1788822865,201,45
1788822866,252,84
1788822867,212,46
1788822868,221,53
1788822869,213,48
1788822870,243,58
1788822871,241,65
1788822872,230,59
1788822873,215,62
1788822874,212,56
1788822875,215,52
1788822876,199,57
1788822877,213,55
1788822878,216,60
1788822879,207,57
1788822880,240,69
1788822881,214,55
1788822882,209,52
1788822883,231,54
1788822884,229,59
1788822885,187,50
1788822886,211,66
1788822887,237,64
1788822888,226,58
1788822889,212,49
1788822890,193,55
1788822891,241,78
1788822892,217,57
1788822893,234,53
1788822894,210,74
1788822895,247,65
1788822896,232,80
1788822897,240,65
1788822898,219,65
1788822899,202,66
1788822900,221,68
1788822901,265,94
1788822902,218,66
1788822903,207,56
1788822904,262,76
1788822905,199,52
1788822906,211,63
1788822907,204,54
1788822908,240,66
1788822909,217,53
1788822910,239,69
1788822911,200,62
1788822912,239,65
1788822913,247,63
1788822914,216,78
1788822915,214,53
1788822916,272,104
1788822917,231,63
1788822918,217,55
1788822919,233,80
1788822920,238,68
1788822921,242,72
1788822922,224,69
1788822923,228,63
1788822924,248,87
1788822925,211,72
1788822926,226,53
1788822927,192,58
1788822928,237,63
1788822929,204,65
1788822930,196,51
1788822931,248,58
1788822932,224,57
1788822933,236,52
1788822934,218,66
1788822935,197,47
1788822936,208,52
1788822937,232,60
1788822938,223,59
1788822939,218,78
1788822940,224,67
1788822941,229,66
1788822942,199,54
1788822943,231,69
1788822944,248,82
1788822945,210,70
1788822946,236,78
1788822947,183,54
1788822948,295,69
1788822949,228,86
1788822950,184,51
1788822951,214,69
1788822952,257,74
1788822953,215,58
1788822954,251,85
1788822955,203,54
1788822956,263,74
1788822957,237,70
1788822958,249,78
1788822959,252,92
1788822960,235,64
1788822961,223,63
1788822962,229,73
1788822963,210,60
1788822964,222,67
1788822965,189,48
1788822966,203,48
1788822967,213,50
1788822968,229,50
1788822969,187,48
1788822970,224,57
1788822971,230,54
1788822972,223,64
1788822973,201,44
1788822974,236,71
1788822975,208,52
1788822976,244,53
1788822977,261,70
1788822978,188,50
1788822979,227,57
1788822980,220,61
1788822981,248,67
1788822982,236,80
1788822983,203,67
1788822984,244,75
1788822985,237,73
1788822986,222,52
1788822987,244,92
1788822988,223,66
1788822989,220,63
1788822990,263,82
1788822991,188,63
1788822992,139,53
1788822993,119,34
1788822994,123,32
1788822995,96,11
1788822996,112,27
1788822997,96,8
1788822998,122,33
1788822999,108,23
1788823000,102,17
1788823001,188,67
1788823002,135,31
1788823003,107,20
1788823004,108,22
1788823005,112,24
1788823006,100,14
1788823007,97,10
1788823008,92,7
1788823009,92,7
1788823010,95,8
1788823011,94,8
1788823012,92,6
1788823013,86,4
1788823014,95,9
1788823015,98,10
1788823016,94,8
1788823017,93,8
1788823018,91,5
1788823019,88,4
1788823020,90,5
1788823021,93,6
1788823022,151,47
1788823023,117,24
1788823024,97,11
1788823025,98,16
1788823026,109,23
1788823027,94,11
1788823028,96,11
1788823029,92,10
1788823030,100,13
1788823031,98,11
1788823032,96,7
1788823033,92,6
1788823034,95,8
1788823035,96,9
