loopwarm2: readback from /dev/pps0 (pps@1b)
loopwarm: lead=150us margin=30us, GPIO17 -> jumper -> GPIO27
1788753877.999857777,7296
1788753878.999856307,6982
1788753879.999856672,7111
1788753880.999856536,6870
1788753881.999857141,7740
1788753882.999857153,8204
1788753883.999856554,6889
1788753884.999856714,7167
1788753885.999857060,7630
1788753886.999857295,7148
1788753887.999856492,6167
1788753888.999857652,7760
1788753889.999856591,6740
1788753890.999857029,7741
1788753891.999857226,7445
1788753892.999857220,7093
1788753893.999856843,7852
1788753894.999856874,6797
1788753895.999857461,8555
1788753896.999857214,6722
1788753897.999856856,6722
1788753898.999857386,7926
1788753899.999858065,7889
1788753900.999856448,7870
1788753901.999857127,6204
1788753902.999857195,8037
1788753903.999856855,6945
1788753904.999857404,7056
1788753905.999856954,7241
1788753906.999857966,6537
1788753907.999857386,6963
1788753908.999857417,8148
1788753909.999856318,7370
1788753910.999858089,7500
1788753911.999858490,7223
1788753912.999858058,7408
1788753913.999857791,7537
1788753914.999858060,8444
1788753915.999857272,7612
1788753916.999856522,8185
1788753917.999857605,7241
1788753918.999856726,6500
1788753919.999856975,6574
1788753920.999858003,7204
1788753921.999857180,7130
1788753922.999856489,5648
1788753923.999856482,5945
1788753924.999854402,4296
1788753925.999854025,3371
1788753926.999853297,3259
1788753927.999853420,3630
1788753928.999853192,3093
1788753929.999853482,2926
1788753930.999853346,2611
1788753931.999853099,2741
1788753932.999853111,2704
1788753933.999853327,2667
1788753934.999853025,2648
1788753935.999852926,2685
1788753936.999852827,2685
1788753937.999852895,2704
1788753938.999852907,2630
1788753939.999853068,2629
1788753940.999852673,2926
1788753941.999852981,2685
1788753942.999852975,2685
1788753943.999853191,2722
1788753944.999853370,2741
1788753945.999852901,2648
1788753946.999852783,2611
1788753947.999852907,2629
1788753948.999853437,2593
1788753949.999853024,2648
1788753950.999852740,2852
1788753951.999852882,2648
1788753952.999852764,2612
1788753953.999852943,2760
1788753954.999853030,2666
1788753955.999853153,2945
1788753956.999852943,2722
1788753957.999853381,2760
1788753958.999853283,2611
1788753959.999853036,2592
1788753960.999852974,2666
