trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788042029.000001078, sequence: 9296 - clear  0.000000000, sequence: 0
source 0 - assert 1788042029.999999971, sequence: 9297 - clear  0.000000000, sequence: 0
source 0 - assert 1788042031.000000177, sequence: 9298 - clear  0.000000000, sequence: 0
source 0 - assert 1788042031.999999994, sequence: 9299 - clear  0.000000000, sequence: 0
source 0 - assert 1788042032.999999867, sequence: 9300 - clear  0.000000000, sequence: 0
source 0 - assert 1788042033.999999999, sequence: 9301 - clear  0.000000000, sequence: 0
source 0 - assert 1788042035.000000649, sequence: 9302 - clear  0.000000000, sequence: 0
source 0 - assert 1788042036.000000076, sequence: 9303 - clear  0.000000000, sequence: 0
source 0 - assert 1788042036.999999874, sequence: 9304 - clear  0.000000000, sequence: 0
source 0 - assert 1788042038.000000375, sequence: 9305 - clear  0.000000000, sequence: 0
source 0 - assert 1788042039.000000098, sequence: 9306 - clear  0.000000000, sequence: 0
source 0 - assert 1788042040.000000099, sequence: 9307 - clear  0.000000000, sequence: 0
source 0 - assert 1788042040.999999878, sequence: 9308 - clear  0.000000000, sequence: 0
source 0 - assert 1788042042.000000564, sequence: 9309 - clear  0.000000000, sequence: 0
source 0 - assert 1788042042.999999879, sequence: 9310 - clear  0.000000000, sequence: 0
source 0 - assert 1788042043.999999842, sequence: 9311 - clear  0.000000000, sequence: 0
source 0 - assert 1788042045.000000917, sequence: 9312 - clear  0.000000000, sequence: 0
source 0 - assert 1788042045.999999881, sequence: 9313 - clear  0.000000000, sequence: 0
source 0 - assert 1788042047.000000066, sequence: 9314 - clear  0.000000000, sequence: 0
source 0 - assert 1788042047.999999993, sequence: 9315 - clear  0.000000000, sequence: 0
source 0 - assert 1788042049.000000215, sequence: 9316 - clear  0.000000000, sequence: 0
source 0 - assert 1788042049.999999993, sequence: 9317 - clear  0.000000000, sequence: 0
source 0 - assert 1788042051.000000031, sequence: 9318 - clear  0.000000000, sequence: 0
source 0 - assert 1788042052.000000383, sequence: 9319 - clear  0.000000000, sequence: 0
source 0 - assert 1788042053.000000013, sequence: 9320 - clear  0.000000000, sequence: 0
source 0 - assert 1788042053.999999865, sequence: 9321 - clear  0.000000000, sequence: 0
source 0 - assert 1788042055.000000125, sequence: 9322 - clear  0.000000000, sequence: 0
source 0 - assert 1788042056.000000329, sequence: 9323 - clear  0.000000000, sequence: 0
source 0 - assert 1788042056.999999977, sequence: 9324 - clear  0.000000000, sequence: 0
source 0 - assert 1788042057.999999622, sequence: 9325 - clear  0.000000000, sequence: 0
source 0 - assert 1788042059.000000115, sequence: 9326 - clear  0.000000000, sequence: 0
source 0 - assert 1788042059.999999886, sequence: 9327 - clear  0.000000000, sequence: 0
source 0 - assert 1788042060.999999767, sequence: 9328 - clear  0.000000000, sequence: 0
source 0 - assert 1788042061.999999696, sequence: 9329 - clear  0.000000000, sequence: 0
source 0 - assert 1788042062.999999490, sequence: 9330 - clear  0.000000000, sequence: 0
source 0 - assert 1788042063.999999828, sequence: 9331 - clear  0.000000000, sequence: 0
source 0 - assert 1788042065.000000199, sequence: 9332 - clear  0.000000000, sequence: 0
source 0 - assert 1788042065.999999945, sequence: 9333 - clear  0.000000000, sequence: 0
source 0 - assert 1788042066.999999811, sequence: 9334 - clear  0.000000000, sequence: 0
source 0 - assert 1788042067.999999751, sequence: 9335 - clear  0.000000000, sequence: 0
source 0 - assert 1788042068.999999647, sequence: 9336 - clear  0.000000000, sequence: 0
source 0 - assert 1788042069.999999765, sequence: 9337 - clear  0.000000000, sequence: 0
source 0 - assert 1788042070.999999910, sequence: 9338 - clear  0.000000000, sequence: 0
source 0 - assert 1788042072.000000289, sequence: 9339 - clear  0.000000000, sequence: 0
source 0 - assert 1788042073.000000648, sequence: 9340 - clear  0.000000000, sequence: 0
source 0 - assert 1788042074.000000365, sequence: 9341 - clear  0.000000000, sequence: 0
source 0 - assert 1788042075.000000088, sequence: 9342 - clear  0.000000000, sequence: 0
source 0 - assert 1788042076.000000256, sequence: 9343 - clear  0.000000000, sequence: 0
source 0 - assert 1788042077.000000924, sequence: 9344 - clear  0.000000000, sequence: 0
source 0 - assert 1788042078.000000142, sequence: 9345 - clear  0.000000000, sequence: 0
source 0 - assert 1788042079.000000277, sequence: 9346 - clear  0.000000000, sequence: 0
source 0 - assert 1788042080.000000765, sequence: 9347 - clear  0.000000000, sequence: 0
source 0 - assert 1788042081.000001346, sequence: 9348 - clear  0.000000000, sequence: 0
source 0 - assert 1788042082.000000211, sequence: 9349 - clear  0.000000000, sequence: 0
source 0 - assert 1788042083.000000519, sequence: 9350 - clear  0.000000000, sequence: 0
