trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788046939.000000006, sequence: 3454 - clear  0.000000000, sequence: 0
source 0 - assert 1788046940.000000007, sequence: 3455 - clear  0.000000000, sequence: 0
source 0 - assert 1788046940.999999990, sequence: 3456 - clear  0.000000000, sequence: 0
source 0 - assert 1788046941.999999992, sequence: 3457 - clear  0.000000000, sequence: 0
source 0 - assert 1788046942.999999993, sequence: 3458 - clear  0.000000000, sequence: 0
source 0 - assert 1788046944.000000013, sequence: 3459 - clear  0.000000000, sequence: 0
source 0 - assert 1788046944.999999977, sequence: 3460 - clear  0.000000000, sequence: 0
source 0 - assert 1788046945.999999997, sequence: 3461 - clear  0.000000000, sequence: 0
source 0 - assert 1788046946.999999998, sequence: 3462 - clear  0.000000000, sequence: 0
source 0 - assert 1788046948.000000000, sequence: 3463 - clear  0.000000000, sequence: 0
source 0 - assert 1788046949.000000020, sequence: 3464 - clear  0.000000000, sequence: 0
source 0 - assert 1788046950.000000002, sequence: 3465 - clear  0.000000000, sequence: 0
source 0 - assert 1788046951.000000004, sequence: 3466 - clear  0.000000000, sequence: 0
source 0 - assert 1788046952.000000005, sequence: 3467 - clear  0.000000000, sequence: 0
source 0 - assert 1788046952.999999988, sequence: 3468 - clear  0.000000000, sequence: 0
source 0 - assert 1788046953.999999989, sequence: 3469 - clear  0.000000000, sequence: 0
source 0 - assert 1788046954.999999991, sequence: 3470 - clear  0.000000000, sequence: 0
source 0 - assert 1788046956.000000011, sequence: 3471 - clear  0.000000000, sequence: 0
source 0 - assert 1788046956.999999993, sequence: 3472 - clear  0.000000000, sequence: 0
source 0 - assert 1788046958.000000013, sequence: 3473 - clear  0.000000000, sequence: 0
source 0 - assert 1788046959.000000015, sequence: 3474 - clear  0.000000000, sequence: 0
source 0 - assert 1788046959.999999998, sequence: 3475 - clear  0.000000000, sequence: 0
source 0 - assert 1788046960.999999999, sequence: 3476 - clear  0.000000000, sequence: 0
source 0 - assert 1788046962.000000019, sequence: 3477 - clear  0.000000000, sequence: 0
source 0 - assert 1788046963.000000021, sequence: 3478 - clear  0.000000000, sequence: 0
source 0 - assert 1788046964.000000003, sequence: 3479 - clear  0.000000000, sequence: 0
source 0 - assert 1788046965.000000023, sequence: 3480 - clear  0.000000000, sequence: 0
source 0 - assert 1788046966.000000006, sequence: 3481 - clear  0.000000000, sequence: 0
source 0 - assert 1788046966.999999988, sequence: 3482 - clear  0.000000000, sequence: 0
source 0 - assert 1788046967.999999990, sequence: 3483 - clear  0.000000000, sequence: 0
source 0 - assert 1788046968.999999991, sequence: 3484 - clear  0.000000000, sequence: 0
source 0 - assert 1788046970.000000010, sequence: 3485 - clear  0.000000000, sequence: 0
source 0 - assert 1788046971.000000012, sequence: 3486 - clear  0.000000000, sequence: 0
source 0 - assert 1788046971.999999995, sequence: 3487 - clear  0.000000000, sequence: 0
source 0 - assert 1788046973.000000014, sequence: 3488 - clear  0.000000000, sequence: 0
source 0 - assert 1788046973.999999997, sequence: 3489 - clear  0.000000000, sequence: 0
source 0 - assert 1788046974.999999999, sequence: 3490 - clear  0.000000000, sequence: 0
source 0 - assert 1788046976.000000037, sequence: 3491 - clear  0.000000000, sequence: 0
source 0 - assert 1788046977.000000001, sequence: 3492 - clear  0.000000000, sequence: 0
source 0 - assert 1788046978.000000021, sequence: 3493 - clear  0.000000000, sequence: 0
source 0 - assert 1788046979.000000004, sequence: 3494 - clear  0.000000000, sequence: 0
source 0 - assert 1788046980.000000005, sequence: 3495 - clear  0.000000000, sequence: 0
source 0 - assert 1788046981.000000007, sequence: 3496 - clear  0.000000000, sequence: 0
source 0 - assert 1788046982.000000008, sequence: 3497 - clear  0.000000000, sequence: 0
source 0 - assert 1788046983.000000009, sequence: 3498 - clear  0.000000000, sequence: 0
source 0 - assert 1788046984.000000010, sequence: 3499 - clear  0.000000000, sequence: 0
source 0 - assert 1788046984.999999993, sequence: 3500 - clear  0.000000000, sequence: 0
source 0 - assert 1788046986.000000013, sequence: 3501 - clear  0.000000000, sequence: 0
source 0 - assert 1788046987.000000014, sequence: 3502 - clear  0.000000000, sequence: 0
source 0 - assert 1788046987.999999997, sequence: 3503 - clear  0.000000000, sequence: 0
source 0 - assert 1788046988.999999998, sequence: 3504 - clear  0.000000000, sequence: 0
source 0 - assert 1788046990.000000018, sequence: 3505 - clear  0.000000000, sequence: 0
source 0 - assert 1788046991.000000000, sequence: 3506 - clear  0.000000000, sequence: 0
source 0 - assert 1788046992.000000002, sequence: 3507 - clear  0.000000000, sequence: 0
source 0 - assert 1788046993.000000003, sequence: 3508 - clear  0.000000000, sequence: 0
source 0 - assert 1788046994.000000023, sequence: 3509 - clear  0.000000000, sequence: 0
source 0 - assert 1788046995.000000005, sequence: 3510 - clear  0.000000000, sequence: 0
source 0 - assert 1788046995.999999988, sequence: 3511 - clear  0.000000000, sequence: 0
source 0 - assert 1788046997.000000008, sequence: 3512 - clear  0.000000000, sequence: 0
source 0 - assert 1788046998.000000009, sequence: 3513 - clear  0.000000000, sequence: 0
source 0 - assert 1788046998.999999992, sequence: 3514 - clear  0.000000000, sequence: 0
source 0 - assert 1788047000.000000012, sequence: 3515 - clear  0.000000000, sequence: 0
source 0 - assert 1788047000.999999994, sequence: 3516 - clear  0.000000000, sequence: 0
source 0 - assert 1788047001.999999996, sequence: 3517 - clear  0.000000000, sequence: 0
source 0 - assert 1788047002.999999997, sequence: 3518 - clear  0.000000000, sequence: 0
source 0 - assert 1788047003.999999980, sequence: 3519 - clear  0.000000000, sequence: 0
source 0 - assert 1788047005.000000000, sequence: 3520 - clear  0.000000000, sequence: 0
source 0 - assert 1788047006.000000020, sequence: 3521 - clear  0.000000000, sequence: 0
source 0 - assert 1788047007.000000002, sequence: 3522 - clear  0.000000000, sequence: 0
source 0 - assert 1788047008.000000022, sequence: 3523 - clear  0.000000000, sequence: 0
source 0 - assert 1788047008.999999986, sequence: 3524 - clear  0.000000000, sequence: 0
source 0 - assert 1788047009.999999988, sequence: 3525 - clear  0.000000000, sequence: 0
source 0 - assert 1788047010.999999989, sequence: 3526 - clear  0.000000000, sequence: 0
source 0 - assert 1788047012.000000009, sequence: 3527 - clear  0.000000000, sequence: 0
source 0 - assert 1788047013.000000010, sequence: 3528 - clear  0.000000000, sequence: 0
source 0 - assert 1788047014.000000011, sequence: 3529 - clear  0.000000000, sequence: 0
source 0 - assert 1788047014.999999994, sequence: 3530 - clear  0.000000000, sequence: 0
