trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788049810.000000004, sequence: 526 - clear  0.000000000, sequence: 0
source 0 - assert 1788049811.000000005, sequence: 527 - clear  0.000000000, sequence: 0
source 0 - assert 1788049812.000000025, sequence: 528 - clear  0.000000000, sequence: 0
source 0 - assert 1788049812.999999989, sequence: 529 - clear  0.000000000, sequence: 0
source 0 - assert 1788049813.999999991, sequence: 530 - clear  0.000000000, sequence: 0
source 0 - assert 1788049814.999999992, sequence: 531 - clear  0.000000000, sequence: 0
source 0 - assert 1788049815.999999993, sequence: 532 - clear  0.000000000, sequence: 0
source 0 - assert 1788049816.999999995, sequence: 533 - clear  0.000000000, sequence: 0
source 0 - assert 1788049817.999999996, sequence: 534 - clear  0.000000000, sequence: 0
source 0 - assert 1788049818.999999997, sequence: 535 - clear  0.000000000, sequence: 0
source 0 - assert 1788049819.999999999, sequence: 536 - clear  0.000000000, sequence: 0
source 0 - assert 1788049821.000000000, sequence: 537 - clear  0.000000000, sequence: 0
source 0 - assert 1788049822.000000002, sequence: 538 - clear  0.000000000, sequence: 0
source 0 - assert 1788049823.000000003, sequence: 539 - clear  0.000000000, sequence: 0
source 0 - assert 1788049824.000000004, sequence: 540 - clear  0.000000000, sequence: 0
source 0 - assert 1788049825.000000006, sequence: 541 - clear  0.000000000, sequence: 0
source 0 - assert 1788049825.999999989, sequence: 542 - clear  0.000000000, sequence: 0
source 0 - assert 1788049826.999999990, sequence: 543 - clear  0.000000000, sequence: 0
source 0 - assert 1788049828.000000028, sequence: 544 - clear  0.000000000, sequence: 0
source 0 - assert 1788049828.999999993, sequence: 545 - clear  0.000000000, sequence: 0
source 0 - assert 1788049829.999999994, sequence: 546 - clear  0.000000000, sequence: 0
source 0 - assert 1788049831.000000014, sequence: 547 - clear  0.000000000, sequence: 0
source 0 - assert 1788049832.000000015, sequence: 548 - clear  0.000000000, sequence: 0
source 0 - assert 1788049832.999999998, sequence: 549 - clear  0.000000000, sequence: 0
source 0 - assert 1788049834.000000000, sequence: 550 - clear  0.000000000, sequence: 0
source 0 - assert 1788049835.000000001, sequence: 551 - clear  0.000000000, sequence: 0
source 0 - assert 1788049836.000000002, sequence: 552 - clear  0.000000000, sequence: 0
source 0 - assert 1788049837.000000004, sequence: 553 - clear  0.000000000, sequence: 0
source 0 - assert 1788049838.000000005, sequence: 554 - clear  0.000000000, sequence: 0
source 0 - assert 1788049839.000000006, sequence: 555 - clear  0.000000000, sequence: 0
source 0 - assert 1788049839.999999989, sequence: 556 - clear  0.000000000, sequence: 0
source 0 - assert 1788049841.000000009, sequence: 557 - clear  0.000000000, sequence: 0
source 0 - assert 1788049841.999999992, sequence: 558 - clear  0.000000000, sequence: 0
source 0 - assert 1788049842.999999993, sequence: 559 - clear  0.000000000, sequence: 0
source 0 - assert 1788049844.000000013, sequence: 560 - clear  0.000000000, sequence: 0
source 0 - assert 1788049844.999999996, sequence: 561 - clear  0.000000000, sequence: 0
source 0 - assert 1788049845.999999998, sequence: 562 - clear  0.000000000, sequence: 0
source 0 - assert 1788049847.000000017, sequence: 563 - clear  0.000000000, sequence: 0
source 0 - assert 1788049848.000000000, sequence: 564 - clear  0.000000000, sequence: 0
source 0 - assert 1788049849.000000002, sequence: 565 - clear  0.000000000, sequence: 0
source 0 - assert 1788049850.000000003, sequence: 566 - clear  0.000000000, sequence: 0
source 0 - assert 1788049850.999999986, sequence: 567 - clear  0.000000000, sequence: 0
source 0 - assert 1788049852.000000006, sequence: 568 - clear  0.000000000, sequence: 0
source 0 - assert 1788049852.999999989, sequence: 569 - clear  0.000000000, sequence: 0
source 0 - assert 1788049854.000000009, sequence: 570 - clear  0.000000000, sequence: 0
source 0 - assert 1788049855.000000010, sequence: 571 - clear  0.000000000, sequence: 0
source 0 - assert 1788049855.999999993, sequence: 572 - clear  0.000000000, sequence: 0
source 0 - assert 1788049856.999999994, sequence: 573 - clear  0.000000000, sequence: 0
source 0 - assert 1788049858.000000014, sequence: 574 - clear  0.000000000, sequence: 0
source 0 - assert 1788049858.999999997, sequence: 575 - clear  0.000000000, sequence: 0
source 0 - assert 1788049859.999999998, sequence: 576 - clear  0.000000000, sequence: 0
source 0 - assert 1788049861.000000000, sequence: 577 - clear  0.000000000, sequence: 0
source 0 - assert 1788049862.000000001, sequence: 578 - clear  0.000000000, sequence: 0
source 0 - assert 1788049863.000000002, sequence: 579 - clear  0.000000000, sequence: 0
source 0 - assert 1788049864.000000004, sequence: 580 - clear  0.000000000, sequence: 0
source 0 - assert 1788049865.000000005, sequence: 581 - clear  0.000000000, sequence: 0
source 0 - assert 1788049865.999999988, sequence: 582 - clear  0.000000000, sequence: 0
source 0 - assert 1788049866.999999989, sequence: 583 - clear  0.000000000, sequence: 0
source 0 - assert 1788049867.999999991, sequence: 584 - clear  0.000000000, sequence: 0
source 0 - assert 1788049869.000000010, sequence: 585 - clear  0.000000000, sequence: 0
source 0 - assert 1788049869.999999993, sequence: 586 - clear  0.000000000, sequence: 0
source 0 - assert 1788049870.999999995, sequence: 587 - clear  0.000000000, sequence: 0
source 0 - assert 1788049871.999999996, sequence: 588 - clear  0.000000000, sequence: 0
source 0 - assert 1788049872.999999997, sequence: 589 - clear  0.000000000, sequence: 0
source 0 - assert 1788049873.999999999, sequence: 590 - clear  0.000000000, sequence: 0
source 0 - assert 1788049874.999999982, sequence: 591 - clear  0.000000000, sequence: 0
source 0 - assert 1788049876.000000020, sequence: 592 - clear  0.000000000, sequence: 0
source 0 - assert 1788049877.000000003, sequence: 593 - clear  0.000000000, sequence: 0
source 0 - assert 1788049878.000000004, sequence: 594 - clear  0.000000000, sequence: 0
source 0 - assert 1788049879.000000006, sequence: 595 - clear  0.000000000, sequence: 0
source 0 - assert 1788049879.999999989, sequence: 596 - clear  0.000000000, sequence: 0
source 0 - assert 1788049881.000000008, sequence: 597 - clear  0.000000000, sequence: 0
source 0 - assert 1788049882.000000010, sequence: 598 - clear  0.000000000, sequence: 0
source 0 - assert 1788049883.000000011, sequence: 599 - clear  0.000000000, sequence: 0
source 0 - assert 1788049884.000000013, sequence: 600 - clear  0.000000000, sequence: 0
source 0 - assert 1788049884.999999995, sequence: 601 - clear  0.000000000, sequence: 0
source 0 - assert 1788049886.000000015, sequence: 602 - clear  0.000000000, sequence: 0
source 0 - assert 1788049886.999999998, sequence: 603 - clear  0.000000000, sequence: 0
source 0 - assert 1788049887.999999999, sequence: 604 - clear  0.000000000, sequence: 0
source 0 - assert 1788049889.000000001, sequence: 605 - clear  0.000000000, sequence: 0
source 0 - assert 1788049890.000000021, sequence: 606 - clear  0.000000000, sequence: 0
source 0 - assert 1788049891.000000004, sequence: 607 - clear  0.000000000, sequence: 0
source 0 - assert 1788049892.000000023, sequence: 608 - clear  0.000000000, sequence: 0
source 0 - assert 1788049893.000000006, sequence: 609 - clear  0.000000000, sequence: 0
source 0 - assert 1788049893.999999989, sequence: 610 - clear  0.000000000, sequence: 0
source 0 - assert 1788049895.000000009, sequence: 611 - clear  0.000000000, sequence: 0
source 0 - assert 1788049895.999999992, sequence: 612 - clear  0.000000000, sequence: 0
source 0 - assert 1788049896.999999993, sequence: 613 - clear  0.000000000, sequence: 0
source 0 - assert 1788049898.000000013, sequence: 614 - clear  0.000000000, sequence: 0
source 0 - assert 1788049898.999999996, sequence: 615 - clear  0.000000000, sequence: 0
source 0 - assert 1788049900.000000016, sequence: 616 - clear  0.000000000, sequence: 0
source 0 - assert 1788049901.000000017, sequence: 617 - clear  0.000000000, sequence: 0
source 0 - assert 1788049902.000000000, sequence: 618 - clear  0.000000000, sequence: 0
source 0 - assert 1788049903.000000020, sequence: 619 - clear  0.000000000, sequence: 0
source 0 - assert 1788049904.000000003, sequence: 620 - clear  0.000000000, sequence: 0
source 0 - assert 1788049905.000000004, sequence: 621 - clear  0.000000000, sequence: 0
source 0 - assert 1788049906.000000005, sequence: 622 - clear  0.000000000, sequence: 0
source 0 - assert 1788049907.000000006, sequence: 623 - clear  0.000000000, sequence: 0
source 0 - assert 1788049908.000000007, sequence: 624 - clear  0.000000000, sequence: 0
source 0 - assert 1788049909.000000008, sequence: 625 - clear  0.000000000, sequence: 0
source 0 - assert 1788049910.000000010, sequence: 626 - clear  0.000000000, sequence: 0
source 0 - assert 1788049911.000000011, sequence: 627 - clear  0.000000000, sequence: 0
source 0 - assert 1788049911.999999994, sequence: 628 - clear  0.000000000, sequence: 0
source 0 - assert 1788049913.000000014, sequence: 629 - clear  0.000000000, sequence: 0
source 0 - assert 1788049913.999999996, sequence: 630 - clear  0.000000000, sequence: 0
source 0 - assert 1788049914.999999997, sequence: 631 - clear  0.000000000, sequence: 0
source 0 - assert 1788049915.999999998, sequence: 632 - clear  0.000000000, sequence: 0
source 0 - assert 1788049917.000000018, sequence: 633 - clear  0.000000000, sequence: 0
source 0 - assert 1788049918.000000001, sequence: 634 - clear  0.000000000, sequence: 0
source 0 - assert 1788049919.000000002, sequence: 635 - clear  0.000000000, sequence: 0
source 0 - assert 1788049920.000000004, sequence: 636 - clear  0.000000000, sequence: 0
source 0 - assert 1788049921.000000005, sequence: 637 - clear  0.000000000, sequence: 0
source 0 - assert 1788049922.000000006, sequence: 638 - clear  0.000000000, sequence: 0
source 0 - assert 1788049923.000000008, sequence: 639 - clear  0.000000000, sequence: 0
source 0 - assert 1788049923.999999991, sequence: 640 - clear  0.000000000, sequence: 0
source 0 - assert 1788049925.000000010, sequence: 641 - clear  0.000000000, sequence: 0
source 0 - assert 1788049925.999999993, sequence: 642 - clear  0.000000000, sequence: 0
source 0 - assert 1788049926.999999994, sequence: 643 - clear  0.000000000, sequence: 0
source 0 - assert 1788049928.000000014, sequence: 644 - clear  0.000000000, sequence: 0
source 0 - assert 1788049928.999999996, sequence: 645 - clear  0.000000000, sequence: 0
source 0 - assert 1788049929.999999998, sequence: 646 - clear  0.000000000, sequence: 0
source 0 - assert 1788049930.999999999, sequence: 647 - clear  0.000000000, sequence: 0
source 0 - assert 1788049932.000000000, sequence: 648 - clear  0.000000000, sequence: 0
source 0 - assert 1788049933.000000020, sequence: 649 - clear  0.000000000, sequence: 0
source 0 - assert 1788049934.000000003, sequence: 650 - clear  0.000000000, sequence: 0
source 0 - assert 1788049935.000000004, sequence: 651 - clear  0.000000000, sequence: 0
source 0 - assert 1788049936.000000006, sequence: 652 - clear  0.000000000, sequence: 0
source 0 - assert 1788049936.999999989, sequence: 653 - clear  0.000000000, sequence: 0
source 0 - assert 1788049937.999999990, sequence: 654 - clear  0.000000000, sequence: 0
source 0 - assert 1788049939.000000010, sequence: 655 - clear  0.000000000, sequence: 0
source 0 - assert 1788049939.999999993, sequence: 656 - clear  0.000000000, sequence: 0
source 0 - assert 1788049941.000000012, sequence: 657 - clear  0.000000000, sequence: 0
source 0 - assert 1788049941.999999995, sequence: 658 - clear  0.000000000, sequence: 0
source 0 - assert 1788049943.000000015, sequence: 659 - clear  0.000000000, sequence: 0
source 0 - assert 1788049943.999999998, sequence: 660 - clear  0.000000000, sequence: 0
source 0 - assert 1788049945.000000018, sequence: 661 - clear  0.000000000, sequence: 0
source 0 - assert 1788049946.000000001, sequence: 662 - clear  0.000000000, sequence: 0
source 0 - assert 1788049947.000000002, sequence: 663 - clear  0.000000000, sequence: 0
source 0 - assert 1788049948.000000003, sequence: 664 - clear  0.000000000, sequence: 0
source 0 - assert 1788049949.000000023, sequence: 665 - clear  0.000000000, sequence: 0
source 0 - assert 1788049949.999999987, sequence: 666 - clear  0.000000000, sequence: 0
source 0 - assert 1788049951.000000026, sequence: 667 - clear  0.000000000, sequence: 0
source 0 - assert 1788049951.999999990, sequence: 668 - clear  0.000000000, sequence: 0
source 0 - assert 1788049953.000000010, sequence: 669 - clear  0.000000000, sequence: 0
source 0 - assert 1788049954.000000011, sequence: 670 - clear  0.000000000, sequence: 0
source 0 - assert 1788049954.999999993, sequence: 671 - clear  0.000000000, sequence: 0
source 0 - assert 1788049955.999999995, sequence: 672 - clear  0.000000000, sequence: 0
