trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
ok, found 1 source(s), now start fetching data...
source 0 - assert 1788043991.000000096, sequence: 506 - clear  0.000000000, sequence: 0
source 0 - assert 1788043991.999999875, sequence: 507 - clear  0.000000000, sequence: 0
source 0 - assert 1788043993.000000025, sequence: 508 - clear  0.000000000, sequence: 0
source 0 - assert 1788043993.999999897, sequence: 509 - clear  0.000000000, sequence: 0
source 0 - assert 1788043995.000000046, sequence: 510 - clear  0.000000000, sequence: 0
source 0 - assert 1788043995.999999918, sequence: 511 - clear  0.000000000, sequence: 0
source 0 - assert 1788043997.000000068, sequence: 512 - clear  0.000000000, sequence: 0
source 0 - assert 1788043997.999999958, sequence: 513 - clear  0.000000000, sequence: 0
source 0 - assert 1788043999.000000108, sequence: 514 - clear  0.000000000, sequence: 0
source 0 - assert 1788043999.999999980, sequence: 515 - clear  0.000000000, sequence: 0
source 0 - assert 1788044001.000000111, sequence: 516 - clear  0.000000000, sequence: 0
source 0 - assert 1788044001.999999908, sequence: 517 - clear  0.000000000, sequence: 0
source 0 - assert 1788044003.000000113, sequence: 518 - clear  0.000000000, sequence: 0
source 0 - assert 1788044003.999999911, sequence: 519 - clear  0.000000000, sequence: 0
source 0 - assert 1788044005.000000042, sequence: 520 - clear  0.000000000, sequence: 0
source 0 - assert 1788044005.999999913, sequence: 521 - clear  0.000000000, sequence: 0
source 0 - assert 1788044007.000000081, sequence: 522 - clear  0.000000000, sequence: 0
source 0 - assert 1788044007.999999897, sequence: 523 - clear  0.000000000, sequence: 0
source 0 - assert 1788044009.000000010, sequence: 524 - clear  0.000000000, sequence: 0
source 0 - assert 1788044009.999999918, sequence: 525 - clear  0.000000000, sequence: 0
source 0 - assert 1788044011.000000068, sequence: 526 - clear  0.000000000, sequence: 0
source 0 - assert 1788044011.999999939, sequence: 527 - clear  0.000000000, sequence: 0
source 0 - assert 1788044013.000000200, sequence: 528 - clear  0.000000000, sequence: 0
source 0 - assert 1788044013.999999905, sequence: 529 - clear  0.000000000, sequence: 0
source 0 - assert 1788044015.000000443, sequence: 530 - clear  0.000000000, sequence: 0
source 0 - assert 1788044015.999999908, sequence: 531 - clear  0.000000000, sequence: 0
source 0 - assert 1788044017.000000020, sequence: 532 - clear  0.000000000, sequence: 0
source 0 - assert 1788044017.999999948, sequence: 533 - clear  0.000000000, sequence: 0
source 0 - assert 1788044019.000000078, sequence: 534 - clear  0.000000000, sequence: 0
source 0 - assert 1788044020.000000024, sequence: 535 - clear  0.000000000, sequence: 0
source 0 - assert 1788044021.000000025, sequence: 536 - clear  0.000000000, sequence: 0
source 0 - assert 1788044021.999999897, sequence: 537 - clear  0.000000000, sequence: 0
source 0 - assert 1788044023.000000158, sequence: 538 - clear  0.000000000, sequence: 0
source 0 - assert 1788044023.999999844, sequence: 539 - clear  0.000000000, sequence: 0
source 0 - assert 1788044025.000000031, sequence: 540 - clear  0.000000000, sequence: 0
source 0 - assert 1788044025.999999884, sequence: 541 - clear  0.000000000, sequence: 0
source 0 - assert 1788044027.000000089, sequence: 542 - clear  0.000000000, sequence: 0
source 0 - assert 1788044027.999999905, sequence: 543 - clear  0.000000000, sequence: 0
source 0 - assert 1788044029.000000165, sequence: 544 - clear  0.000000000, sequence: 0
source 0 - assert 1788044029.999999870, sequence: 545 - clear  0.000000000, sequence: 0
source 0 - assert 1788044031.000000076, sequence: 546 - clear  0.000000000, sequence: 0
source 0 - assert 1788044031.999999892, sequence: 547 - clear  0.000000000, sequence: 0
source 0 - assert 1788044033.000000097, sequence: 548 - clear  0.000000000, sequence: 0
source 0 - assert 1788044033.999999895, sequence: 549 - clear  0.000000000, sequence: 0
source 0 - assert 1788044035.000000174, sequence: 550 - clear  0.000000000, sequence: 0
source 0 - assert 1788044035.999999898, sequence: 551 - clear  0.000000000, sequence: 0
source 0 - assert 1788044037.000000010, sequence: 552 - clear  0.000000000, sequence: 0
source 0 - assert 1788044037.999999864, sequence: 553 - clear  0.000000000, sequence: 0
source 0 - assert 1788044039.000000069, sequence: 554 - clear  0.000000000, sequence: 0
source 0 - assert 1788044039.999999904, sequence: 555 - clear  0.000000000, sequence: 0
source 0 - assert 1788044041.000000035, sequence: 556 - clear  0.000000000, sequence: 0
source 0 - assert 1788044041.999999926, sequence: 557 - clear  0.000000000, sequence: 0
source 0 - assert 1788044043.000000150, sequence: 558 - clear  0.000000000, sequence: 0
source 0 - assert 1788044043.999999948, sequence: 559 - clear  0.000000000, sequence: 0
source 0 - assert 1788044045.000000042, sequence: 560 - clear  0.000000000, sequence: 0
source 0 - assert 1788044046.000000062, sequence: 561 - clear  0.000000000, sequence: 0
